index,_id,channel,created_at,duration,lang,machine_id,ts,tui,tv,url,zip_url,date
3434672,{'$oid': '5bb2b5082c1ba60007fc013d'},WBNX_HD_CW,{'$date': '2018-10-02T00:00:08.982Z'},900000,dflt,ENSWERCCR7_8_3,{'$numberLong': '1538437500000'},251536767,{'$date': '2018-10-01T23:45:00.000Z'},https://s3.amazonaws.com/adm-mpeg-dash/gnvideostream/ENSWERCCR7_8_3/WBNX_HD_CW/ccaptions/2018/10/01/393cd7c008e0f5c24c2d30be1371afa6.cc,https://s3.amazonaws.com/adm-mpeg-dash/gnvideostream/ENSWERCCR7_8_3/WBNX_HD_CW/ccaptions/2018/10/01/393cd7c008e0f5c24c2d30be1371afa6.cc.gz,2018-10-02 00:00:08.982
3434673,{'$oid': '5bb2b5106f40ed000728b879'},KZJO_MY_NETWORK_SEATTLE,{'$date': '2018-10-02T00:00:16.702Z'},900000,dflt,ENSWERCCR7_48_2,{'$numberLong': '1538437500000'},251533435,{'$date': '2018-10-01T23:45:00.000Z'},https://s3.amazonaws.com/adm-mpeg-dash/gnvideostream/ENSWERCCR7_48_2/KZJO_MY_NETWORK_SEATTLE/ccaptions/2018/10/01/431a55a6c51ec4e39e9d6d4e318bb464.cc,https://s3.amazonaws.com/adm-mpeg-dash/gnvideostream/ENSWERCCR7_48_2/KZJO_MY_NETWORK_SEATTLE/ccaptions/2018/10/01/431a55a6c51ec4e39e9d6d4e318bb464.cc.gz,2018-10-02 00:00:16.702
3434674,{'$oid': '5bb2b51170969a000bc9a14e'},WVUA_THIS_TV_BIRMINGHAM,{'$date': '2018-10-02T00:00:17.995Z'},900000,dflt,ENSWERCCR7_65_236,{'$numberLong': '1538435700000'},251541606,{'$date': '2018-10-01T23:15:00.000Z'},https://s3.amazonaws.com/adm-mpeg-dash/gnvideostream/ENSWERCCR7_65_236/WVUA_THIS_TV_BIRMINGHAM/ccaptions/2018/10/01/2a2d3dab7e143b6e43aba4ea87247bc5.cc,https://s3.amazonaws.com/adm-mpeg-dash/gnvideostream/ENSWERCCR7_65_236/WVUA_THIS_TV_BIRMINGHAM/ccaptions/2018/10/01/2a2d3dab7e143b6e43aba4ea87247bc5.cc.gz,2018-10-02 00:00:17.995
3434675,{'$oid': '5bb2b51187701400079ec41d'},TV_LAND,{'$date': '2018-10-02T00:00:17.925Z'},900000,dflt,ENSWERCCR4_22,{'$numberLong': '1538437500000'},251536903,{'$date': '2018-10-01T23:45:00.000Z'},https://s3.amazonaws.com/adm-mpeg-dash/gnvideostream/ENSWERCCR4_22/TV_LAND/ccaptions/2018/10/01/3970508e969ed593325f5c67126e5b9e.cc,https://s3.amazonaws.com/adm-mpeg-dash/gnvideostream/ENSWERCCR4_22/TV_LAND/ccaptions/2018/10/01/3970508e969ed593325f5c67126e5b9e.cc.gz,2018-10-02 00:00:17.925
3434676,{'$oid': '5bb2b511b18af90007b4e445'},WPCH_INDEPENDENT_ATLANTA,{'$date': '2018-10-02T00:00:17.074Z'},900000,dflt,ENSWERCCR7_7_245,{'$numberLong': '1538437500000'},251534109,{'$date': '2018-10-01T23:45:00.000Z'},https://s3.amazonaws.com/adm-mpeg-dash/gnvideostream/ENSWERCCR7_7_245/WPCH_INDEPENDENT_ATLANTA/ccaptions/2018/10/01/a1f02d4b0ae1ed73ab41e6a90a5c199c.cc,https://s3.amazonaws.com/adm-mpeg-dash/gnvideostream/ENSWERCCR7_7_245/WPCH_INDEPENDENT_ATLANTA/ccaptions/2018/10/01/a1f02d4b0ae1ed73ab41e6a90a5c199c.cc.gz,2018-10-02 00:00:17.074
3434677,{'$oid': '5bb2b511cc21c600070924d7'},KOB_NBC_ALBUQUERQUE,{'$date': '2018-10-02T00:00:17.376Z'},900000,dflt,ENSWERCCR7_46_148,{'$numberLong': '1538437500000'},251539190,{'$date': '2018-10-01T23:45:00.000Z'},https://s3.amazonaws.com/adm-mpeg-dash/gnvideostream/ENSWERCCR7_46_148/KOB_NBC_ALBUQUERQUE/ccaptions/2018/10/01/ef165e672c7aaf87d715e137cf388790.cc,https://s3.amazonaws.com/adm-mpeg-dash/gnvideostream/ENSWERCCR7_46_148/KOB_NBC_ALBUQUERQUE/ccaptions/2018/10/01/ef165e672c7aaf87d715e137cf388790.cc.gz,2018-10-02 00:00:17.376
3434678,{'$oid': '5bb2b51229fdd5000748956d'},KATU_ABC_PORTLAND,{'$date': '2018-10-02T00:00:18.947Z'},900000,dflt,ENSWERCCR7_45,{'$numberLong': '1538437500000'},251539905,{'$date': '2018-10-01T23:45:00.000Z'},https://s3.amazonaws.com/adm-mpeg-dash/gnvideostream/ENSWERCCR7_45/KATU_ABC_PORTLAND/ccaptions/2018/10/01/893919f737a3eda9887cf803fdf354b1.cc,https://s3.amazonaws.com/adm-mpeg-dash/gnvideostream/ENSWERCCR7_45/KATU_ABC_PORTLAND/ccaptions/2018/10/01/893919f737a3eda9887cf803fdf354b1.cc.gz,2018-10-02 00:00:18.947
3434679,{'$oid': '5bb2b51261aed300080d0d5a'},KTUL_ABC_TULSA,{'$date': '2018-10-02T00:00:18.079Z'},900000,dflt,ENSWERCCR7_154,{'$numberLong': '1538437500000'},251537298,{'$date': '2018-10-01T23:45:00.000Z'},https://s3.amazonaws.com/adm-mpeg-dash/gnvideostream/ENSWERCCR7_154/KTUL_ABC_TULSA/ccaptions/2018/10/01/179806b0e7096e53afbee54fc3a6cbf6.cc,https://s3.amazonaws.com/adm-mpeg-dash/gnvideostream/ENSWERCCR7_154/KTUL_ABC_TULSA/ccaptions/2018/10/01/179806b0e7096e53afbee54fc3a6cbf6.cc.gz,2018-10-02 00:00:18.079
3434680,{'$oid': '5bb2b512bf152d0008103b75'},ABC_FAMILY_HD,{'$date': '2018-10-02T00:00:18.822Z'},900000,dflt,ENSWERCCR2_ingest204,{'$numberLong': '1538437500000'},251540920,{'$date': '2018-10-01T23:45:00.000Z'},https://s3.amazonaws.com/adm-mpeg-dash/gnvideostream/ENSWERCCR2_ingest204/ABC_FAMILY_HD/ccaptions/2018/10/01/5800d9ad43bd3bee1a86018ba8a9d983.cc,https://s3.amazonaws.com/adm-mpeg-dash/gnvideostream/ENSWERCCR2_ingest204/ABC_FAMILY_HD/ccaptions/2018/10/01/5800d9ad43bd3bee1a86018ba8a9d983.cc.gz,2018-10-02 00:00:18.822
3434681,{'$oid': '5bb2b513198c030007a000f1'},KXLN_UNIVISION_HOUSTON,{'$date': '2018-10-02T00:00:19.504Z'},900000,dflt,ENSWERCCR7_214,{'$numberLong': '1538437500000'},251535335,{'$date': '2018-10-01T23:45:00.000Z'},https://s3.amazonaws.com/adm-mpeg-dash/gnvideostream/ENSWERCCR7_214/KXLN_UNIVISION_HOUSTON/ccaptions/2018/10/01/ccdd6a59727932750f7f6f92ee942290.cc,https://s3.amazonaws.com/adm-mpeg-dash/gnvideostream/ENSWERCCR7_214/KXLN_UNIVISION_HOUSTON/ccaptions/2018/10/01/ccdd6a59727932750f7f6f92ee942290.cc.gz,2018-10-02 00:00:19.504
